X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id
ENST00000556195.2,23.06973052,-7.93814092,2.058692829,-3.855913231,0.000115298,0.018208405,10572
ENST00000556483.5,25.44349321,-8.079467579,2.005962673,-4.027725783,5.6319E-05,0.010341309,25983
ENST00000562999.5,38.85318996,-8.68999696,1.89512339,-4.585451801,4.53006E-06,0.001514717,65009
ENST00000565931.1,19.04642328,-7.66191126,2.140350454,-3.579746132,0.000343928,0.042403837,9810
ENST00000567105.5,28.44967689,-6.791147181,1.865629243,-3.640137615,0.000272492,0.035913301,10204
ENST00000567134.5,32.90868499,-8.450281393,2.135340824,-3.957345496,7.57873E-05,0.013074029,10073
ENST00000567759.5,51.17660184,-3.355707785,0.921397615,-3.641975767,0.000270554,0.035832138,9013
ENST00000569410.5,31.02788021,-8.365889352,1.901036403,-4.400699187,1.07903E-05,0.003012819,3073
ENST00000569745.5,26.8074469,-8.155398711,1.959164344,-4.162692496,3.14517E-05,0.006814698,23582
ENST00000573784.6,48.31211547,-9.004942121,1.738504813,-5.179705027,2.22237E-07,0.000148619,682
ENST00000575087.5,53.89451137,-9.162888883,1.712695131,-5.349982444,8.79628E-08,7.13309E-05,71
ENST00000576544.6,181.2243354,-10.91189937,1.619540866,-6.737649912,1.60969E-11,8.71936E-08,71
ENST00000588704.1,37.60614743,-8.644245195,1.949187299,-4.434794543,9.21601E-06,0.002667585,115106
ENST00000589252.5,54.43980882,-9.177890085,1.861873988,-4.929383054,8.24897E-07,0.000429644,498
ENST00000597700.6,28.47718792,-8.243101438,2.043084299,-4.034635987,5.4687E-05,0.010179677,348327
ENST00000613060.4,28.54943844,-8.245251335,2.12640884,-3.877547525,0.000105515,0.01701048,6533
ENST00000613183.1,96.71866904,-10.00601253,1.624235035,-6.160446188,7.25403E-10,1.73975E-06,91283
ENST00000616539.4,32.9792299,-8.454273995,1.868433627,-4.524792249,6.04549E-06,0.001959292,85409
ENST00000618655.2,220.1968751,-1.553158035,0.387132177,-4.011958005,6.02172E-05,0.010945792,55501
ENST00000619400.2,82.92958381,-6.75254532,1.874800538,-3.601740656,0.000316094,0.040573837,2055
ENST00000620073.4,33.28302614,-8.467830562,1.897676565,-4.462209588,8.11188E-06,0.002401117,3326
ENST00000621083.4,102.980094,-3.806832102,1.029128084,-3.699084846,0.000216378,0.029823862,7770
ENST00000623280.3,23.54448306,-7.967535517,2.047382568,-3.891571434,9.95971E-05,0.01624992,253943
ENST00000624354.3,31.19286322,-8.373835977,1.888633333,-4.433807151,9.25834E-06,0.002667585,7414
ENST00000626889.2,36.83158085,-8.613782481,1.833971282,-4.696792456,2.64279E-06,0.00101528,161
ENST00000629961.2,21.36386424,-7.827652297,2.071183454,-3.779313841,0.000157261,0.023540976,145270
ENST00000632864.1,24.54035438,-8.028483977,2.121285227,-3.784726295,0.000153878,0.023153485,9884
ENST00000632864.1,24.54035438,-8.028483977,2.121285227,-3.784726295,0.000153878,0.023153485,474170
ENST00000637387.1,19.85910622,-7.721755849,2.175161324,-3.549969266,0.000385276,0.045774039,1509
ENST00000639269.1,50.35764362,-4.575521664,1.012838803,-4.517522087,6.25675E-06,0.001993621,57062
ENST00000639589.1,27.58484234,-4.698359022,1.328656122,-3.53617384,0.000405967,0.047495562,144165
ENST00000641247.1,24.357166,-8.016215312,2.105000162,-3.808178002,0.000139994,0.021421529,26227
ENST00000642810.1,69.41456752,-9.528247579,1.685579673,-5.652801663,1.57853E-08,1.90013E-05,1108
ENST00000642886.1,162.7377247,-3.673378241,0.741033837,-4.957099198,7.15534E-07,0.000376302,1499
ENST00000644054.2,46.9382063,-8.963725273,1.769831088,-5.064734896,4.08969E-07,0.000246145,55005
ENST00000644074.1,124.0539706,-2.306915714,0.569230665,-4.052690513,5.0632E-05,0.009657156,1654
ENST00000647209.1,73.71711863,-8.163502912,1.641059529,-4.974531859,6.54055E-07,0.000351822,1200
